x,y
-304.253997803,223.970993042
-304.260009766,223.973999023
-304.25100708,223.970001221
-304.256988525,223.972000122
-304.253997803,223.970993042
-304.256011963,223.972000122
-304.255004883,223.972000122
-304.253997803,223.970001221
-304.253997803,223.970001221
-304.253997803,223.970001221
-304.256988525,223.970993042
-304.256011963,223.968994141
-304.255004883,223.970993042
-304.255004883,223.968994141
-304.259002686,223.968994141
-304.253997803,223.968994141
-304.256988525,223.973999023
-304.253997803,223.970993042
-304.253997803,223.970001221
-304.25100708,223.970993042
-304.255004883,223.972000122
-304.253997803,223.970001221
-304.257995605,223.972000122
-304.259002686,223.972000122
-304.255004883,223.972000122
-304.257995605,223.970001221
-304.263000488,223.970993042
-304.259002686,223.968994141
-304.259002686,223.970001221
-304.260009766,223.970001221
-304.260009766,223.970993042
-304.256988525,223.970001221
-304.255004883,223.968002319
-304.252990723,223.968994141
-304.252990723,223.968002319
-304.252990723,223.970001221
-304.253997803,223.968002319
-304.256988525,223.968994141
-304.255004883,223.970001221
-304.253997803,223.968002319
-304.253997803,223.968002319
-304.253997803,223.970993042
-304.260009766,223.968002319
-304.260009766,223.972000122
-304.261993408,223.968002319
-304.257995605,223.966995239
-304.260986328,223.968002319
-304.259002686,223.968994141
-304.259002686,223.966003418
-304.263000488,223.970001221
-304.263000488,223.966003418
-304.261993408,223.966003418
-304.259002686,223.964996338
-304.257995605,223.970001221
-304.25201416,223.966995239
-304.25201416,223.966995239
-304.252990723,223.968994141
-304.253997803,223.970001221
-304.256011963,223.970993042
-304.25201416,223.968002319
-304.255004883,223.968002319
-304.255004883,223.970001221
-304.253997803,223.970993042
-304.252990723,223.973999023
-304.247009277,223.981994629
-304.239013672,224.003005981
-304.233001709,224.024993896
-304.217987061,224.057998657
-304.20401001,224.095993042
-304.194000244,224.130004883
-304.154998779,224.151992798
-304.138000488,224.188995361
-304.122009277,224.244995117
-304.109985352,224.292007446
-304.072998047,224.324996948
-304.062011719,224.367996216
-304.035003662,224.473999023
-304.023010254,224.524002075
-304.003997803,224.576004028
-303.977996826,224.634002686
-303.960998535,224.695007324
-303.938995361,224.779006958
-303.928009033,224.839996338
-303.894012451,224.889007568
-303.864990234,224.93699646
-303.843994141,224.98399353
-303.82699585,225.042999268
-303.805999756,225.106002808
-303.782989502,225.179992676
-303.753997803,225.229995728
-303.717987061,225.287994385
-303.665008545,225.335998535
-303.640014648,225.393997192
-303.617004395,225.453994751
-303.585998535,225.511993408
-303.542999268,225.567001343
-303.520996094,225.660003662
-303.489990234,225.710998535
-303.471008301,225.751998901
-303.441986084,225.804992676
-303.42199707,225.875
-303.381988525,225.99899292
-303.358001709,226.065994263
-303.345001221,226.134002686
-303.317993164,226.20300293
-303.282012939,226.26499939
-303.256011963,226.330993652
-303.236999512,226.386001587
-303.221984863,226.436004639
-303.220001221,226.524002075
-303.199005127,226.591003418
-303.138000488,226.636001587
-303.12298584,226.701004028
-303.101989746,226.766998291
-303.07598877,226.822006226
-303.04598999,226.880004883
-303.027008057,226.949005127
-303,227.011993408
-302.970001221,227.076004028
-302.950012207,227.138000488
-302.92098999,227.205993652
-302.816009521,227.246994019
-302.794006348,227.313995361
-302.75201416,227.384994507
-302.733001709,227.449996948
-302.709991455,227.511993408
-302.687988281,227.583999634
-302.666992188,227.649993896
-302.62701416,227.705001831
-302.600006104,227.75100708
-302.566009521,227.824005127
-302.477996826,227.914001465
-302.463012695,227.970001221
-302.441986084,228.035995483
-302.406005859,228.098999023
-302.389007568,228.171005249
-302.375,228.255004883
-302.359985352,228.320999146
-302.334991455,228.367004395
-302.309997559,228.419998169
-302.220001221,228.50100708
-302.196990967,228.546005249
-302.178009033,228.587997437
-302.154998779,228.632995605
-302.131988525,228.67199707
-302.105987549,228.699005127
-302.07800293,228.73500061
-302.053009033,228.777999878
-302.036987305,228.820007324
-302.015991211,228.856002808
-301.984008789,228.947998047
-301.964996338,228.990997314
-301.950012207,229.037002563
-301.929992676,229.102996826
-301.911010742,229.151000977
-301.894989014,229.199005127
-301.878997803,229.253005981
-301.858001709,229.29800415
-301.838012695,229.354995728
-301.812011719,229.406005859
-301.790008545,229.466003418
-301.756011963,229.600997925
-301.729003906,229.656005859
-301.709991455,229.705993652
-301.688995361,229.768997192
-301.657989502,229.835006714
-301.640014648,229.908004761
-301.625,229.979003906
-301.600006104,230.04800415
-301.583007812,230.121002197
-301.555999756,230.194000244
-301.520996094,230.264007568
-301.503997803,230.332992554
-301.476989746,230.395004272
-301.45199585,230.457000732
-301.441009521,230.520004272
-301.414001465,230.598999023
-301.386993408,230.666000366
-301.364990234,230.736999512
-301.32598877,230.815002441
-301.29598999,230.895004272
-301.243011475,231.013000488
-301.226013184,231.087997437
-301.187988281,231.164001465
-301.161987305,231.231994629
-301.145996094,231.31199646
-301.114990234,231.380996704
-301.080993652,231.457000732
-301.054992676,231.535995483
-301.020996094,231.617996216
-300.989990234,231.692001343
-300.958007812,231.82800293
-300.942993164,231.901000977
-300.924987793,231.977005005
-300.903015137,232.042999268
-300.878997803,232.113998413
-300.865997314,232.182006836
-300.848999023,232.238006592
-300.834991455,232.29800415
-300.794006348,232.373001099
-300.768005371,232.432006836
-300.742004395,232.492004395
-300.705993652,232.600006104
-300.695007324,232.651000977
-300.687011719,232.707000732
-300.67401123,232.764007568
-300.658996582,232.809997559
-300.644012451,232.854003906
-300.683990479,232.906005859
-300.666992188,232.955001831
-300.649993896,233.014007568
-300.634002686,233.072006226
-300.618011475,233.139007568
-300.592987061,233.205993652
-300.566009521,233.274002075
-300.553009033,233.345993042
-300.526000977,233.425994873
-300.511993408,233.50100708
-300.572998047,233.598999023
-300.558990479,233.68699646
-300.537994385,233.76499939
-300.514007568,233.869003296
-300.483001709,233.960006714
-300.459991455,234.037002563
-300.440002441,234.128005981
-300.417999268,234.229003906
-300.391998291,234.337997437
-300.377990723,234.419998169
-300.493988037,234.591995239
-300.484985352,234.690002441
-300.459014893,234.761993408
-300.450012207,234.852996826
-300.455993652,234.929992676
-300.449005127,235.020004272
-300.45199585,235.091995239
-300.425994873,235.160003662
-300.414001465,235.227005005
-300.411987305,235.285995483
-300.523986816,235.49899292
-300.532989502,235.57800293
-300.536987305,235.649002075
-300.571014404,235.794006348
-300.593994141,235.865005493
-300.605987549,235.949005127
-300.615997314,236.035995483
-300.628997803,236.098999023
-300.641998291,236.17300415
-300.62701416,236.294998169
-300.645996094,236.373001099
-300.654998779,236.451004028
-300.686004639,236.516998291
-300.70401001,236.613998413
-300.70300293,236.684997559
-300.713012695,236.755004883
-300.736999512,236.832000732
-300.768005371,236.906005859
-300.785003662,237.009994507
-300.841003418,237.207000732
-300.868011475,237.289993286
-300.886993408,237.371994019
-300.915008545,237.464996338
-300.954986572,237.533996582
-300.976013184,237.636993408
-301.007995605,237.73500061
-301.035003662,237.802001953
-301.071990967,237.871002197
-301.101013184,237.972000122
-301.131988525,238.128005981
-301.17199707,238.18699646
-301.216003418,238.246002197
-301.253997803,238.322998047
-301.295013428,238.388000488
-301.329986572,238.436004639
-301.375,238.48399353
-301.42300415,238.535003662
-301.459014893,238.574996948
-301.5,238.617996216
-301.49899292,238.871002197
-301.545013428,238.904006958
-301.580993652,238.957992554
-301.614990234,239.009994507
-301.661987305,239.067001343
-301.700012207,239.108001709
-301.74899292,239.162994385
-301.808990479,239.207000732
-301.869995117,239.244995117
-301.928009033,239.289001465
-301.989013672,239.343994141
-302.014007568,239.544998169
-302.07598877,239.604995728
-302.144989014,239.662994385
-302.210998535,239.723007202
-302.281005859,239.81199646
-302.348999023,239.867996216
-302.414001465,239.938995361
-302.479003906,240.020996094
-302.54800415,240.091003418
-302.615997314,240.212997437
-302.691009521,240.26499939
-302.769989014,240.32699585
-302.843994141,240.395996094
-302.917999268,240.466003418
-302.989013672,240.527999878
-303.059997559,240.574005127
-303.139007568,240.632995605
-303.217010498,240.70300293
-303.276000977,240.768005371
-303.300994873,240.929000854
-303.368988037,240.983001709
-303.437011719,241.024002075
-303.503997803,241.080993652
-303.569000244,241.151992798
-303.62399292,241.223999023
-303.696990967,241.285003662
-303.773010254,241.337997437
-303.843994141,241.391998291
-303.92098999,241.457992554
-303.975006104,241.522003174
-304.088012695,241.712997437
-304.152008057,241.76499939
-304.225006104,241.82800293
-304.29699707,241.873001099
-304.358001709,241.921005249
-304.424987793,241.977005005
-304.488006592,242.024993896
