x,y
-313.609008789,203.229995728
-313.610992432,203.223007202
-313.57800293,203.292999268
-313.584014893,203.283996582
-313.587005615,203.276000977
-313.588989258,203.268997192
-313.592987061,203.261001587
-313.596984863,203.25
-313.597991943,203.246002197
-313.604003906,203.238006592
-313.606994629,203.231994629
-313.609008789,203.223999023
-313.580993652,203.292999268
-313.584991455,203.287994385
-313.589996338,203.279998779
-313.598999023,203.276000977
-313.609985352,203.272994995
-313.625,203.270004272
-313.640014648,203.268997192
-313.657012939,203.26600647
-313.680999756,203.268005371
-313.708007812,203.268997192
-313.70401001,203.345993042
-313.730010986,203.348999023
-313.753997803,203.354003906
-313.782989502,203.352996826
-313.816009521,203.358001709
-313.850006104,203.363006592
-313.881988525,203.371002197
-313.917999268,203.37600708
-313.954986572,203.382003784
-313.992004395,203.389007568
-313.997009277,203.473999023
-314.036010742,203.481002808
-314.075012207,203.486999512
-314.110992432,203.492004395
-314.147003174,203.49899292
-314.186004639,203.507003784
-314.221008301,203.513000488
-314.257995605,203.516998291
-314.295013428,203.522994995
-314.332000732,203.535003662
-314.338012695,203.615997314
-314.37701416,203.621002197
-314.408996582,203.628997803
-314.441009521,203.632003784
-314.477996826,203.634994507
-314.510009766,203.638000488
-314.544006348,203.643997192
-314.566986084,203.651992798
-314.595001221,203.658004761
-314.62399292,203.658996582
-314.615997314,203.738006592
-314.641998291,203.736999512
-314.665008545,203.736999512
-314.680999756,203.73399353
-314.70098877,203.735992432
-314.720001221,203.736999512
-314.739013672,203.738998413
-314.760009766,203.738998413
-314.785003662,203.738006592
-314.813995361,203.742996216
-314.843994141,203.74899292
-314.885986328,203.755004883
-314.888000488,203.86000061
-314.937011719,203.871994019
-314.984985352,203.884002686
-315.036987305,203.897003174
-315.097991943,203.910995483
-315.160003662,203.927993774
-315.221008301,203.949996948
-315.287994385,203.972000122
-315.32598877,204.04800415
-315.385986328,204.057998657
-315.441986084,204.070999146
-315.493988037,204.085998535
-315.54699707,204.102996826
-315.596984863,204.113006592
-315.644989014,204.130004883
-315.691986084,204.143997192
-315.740997314,204.156005859
-315.792999268,204.166000366
-315.813995361,204.25100708
-315.863006592,204.26600647
-315.914001465,204.285995483
-315.968994141,204.302001953
-316.024993896,204.320007324
-316.084991455,204.335998535
-316.148010254,204.356002808
-316.208007812,204.380996704
-316.265014648,204.406005859
-316.32699585,204.419006348
-316.351989746,204.507003784
-316.406005859,204.520004272
-316.454986572,204.544998169
-316.506988525,204.559997559
-316.558990479,204.574005127
-316.608001709,204.57800293
-316.648010254,204.587997437
-316.690002441,204.597000122
-316.729003906,204.604003906
-316.764007568,204.613998413
-316.768005371,204.697006226
-316.802001953,204.70199585
-316.834991455,204.707992554
-316.867004395,204.712997437
-316.899993896,204.716003418
-316.929992676,204.720993042
-316.960998535,204.725006104
-316.996002197,204.733001709
-317.032012939,204.738998413
-317.07598877,204.744003296
-317.088012695,204.82800293
-317.134002686,204.841003418
-317.190002441,204.856002808
-317.247009277,204.87399292
-317.308013916,204.886001587
-317.381988525,204.893005371
-317.447998047,204.917999268
-317.523010254,204.944000244
-317.600006104,204.968994141
-317.678009033,204.990997314
-317.720001221,205.080001831
-317.782989502,205.091003418
-317.834014893,205.106002808
-317.886993408,205.128005981
-317.937988281,205.139007568
-317.983001709,205.143005371
-318.028991699,205.149002075
-318.067993164,205.154006958
-318.101989746,205.160995483
-318.135009766,205.164001465
-318.143005371,205.23500061
-318.178009033,205.235992432
-318.213989258,205.240997314
-318.255004883,205.248001099
-318.300994873,205.253997803
-318.351013184,205.259994507
-318.404998779,205.266998291
-318.463989258,205.276000977
-318.523010254,205.298995972
-318.587005615,205.311004639
-318.649993896,205.324005127
-318.684997559,205.417999268
-318.756011963,205.434997559
-318.829986572,205.451004028
-318.904998779,205.470993042
-318.983001709,205.485992432
-319.057006836,205.503997803
-319.131011963,205.520004272
-319.200012207,205.542007446
-319.273010254,205.554992676
-319.303985596,205.651000977
-319.364013672,205.664001465
-319.42300415,205.675003052
-319.473999023,205.68800354
-319.523010254,205.699996948
-319.572998047,205.70199585
-319.614990234,205.710998535
-319.658996582,205.716003418
-319.697998047,205.718994141
-319.730987549,205.723999023
-319.734008789,205.804992676
-319.768005371,205.809997559
-319.803985596,205.815994263
-319.839996338,205.820999146
-319.884002686,205.822998047
-319.925994873,205.832992554
-319.970001221,205.841003418
-320.022003174,205.848007202
-320.071014404,205.86000061
-320.12298584,205.875
-320.147003174,205.964004517
-320.20401001,205.975997925
-320.260009766,205.986999512
-320.316009521,206.00100708
-320.378997803,206.01499939
-320.437011719,206.033996582
-320.497009277,206.044998169
-320.558990479,206.057998657
-320.619995117,206.074005127
-320.683013916,206.091995239
-320.712005615,206.177993774
-320.776000977,206.195999146
-320.834991455,206.210998535
-320.891998291,206.227005005
-320.942993164,206.238006592
-320.996002197,206.25
-321.052001953,206.253997803
-321.101989746,206.266998291
-321.149993896,206.279998779
-321.195007324,206.292007446
-321.205993652,206.37600708
-321.247009277,206.389007568
-321.289001465,206.397003174
-321.32699585,206.404006958
-321.369995117,206.408996582
-321.407012939,206.412002563
-321.441986084,206.42199707
-321.476989746,206.432006836
-321.511993408,206.436004639
-321.54901123,206.43800354
-321.553985596,206.520996094
-321.589996338,206.524993896
-321.625,206.522994995
-321.658996582,206.527999878
-321.691009521,206.533004761
-321.721984863,206.537002563
-321.755004883,206.544006348
-321.791992188,206.550994873
-321.832000732,206.552993774
-321.87600708,206.557998657
-321.87600708,206.64100647
-321.919006348,206.652999878
-321.968994141,206.660995483
-322.018005371,206.664993286
-322.062988281,206.677001953
-322.111999512,206.686004639
-322.162994385,206.695999146
-322.220001221,206.707000732
-322.277008057,206.718002319
-322.333007812,206.729003906
-322.359008789,206.817001343
-322.420013428,206.82699585
-322.481994629,206.837005615
-322.542999268,206.852005005
-322.605010986,206.860992432
-322.665008545,206.873001099
-322.730010986,206.880996704
-322.790008545,206.89100647
-322.850006104,206.906005859
-322.911010742,206.917007446
-322.967010498,206.921005249
-322.986999512,207.01499939
-323.039001465,207.022994995
-323.087005615,207.027999878
-323.132995605,207.029998779
-323.17300415,207.035003662
-323.210998535,207.035995483
-323.240997314,207.041000366
-323.272003174,207.042999268
-323.303009033,207.039001465
-323.333007812,207.035995483
-323.358001709,207.041000366
-323.352996826,207.119995117
-323.380004883,207.119995117
-323.411987305,207.121994019
-323.442993164,207.121994019
-323.471008301,207.12399292
-323.511993408,207.128997803
-323.549987793,207.134002686
-323.589996338,207.136993408
-323.631011963,207.141998291
-323.678985596,207.145996094
-323.70098877,207.203994751
-323.75100708,207.208999634
-323.800994873,207.216995239
-323.855010986,207.220001221
-323.916992188,207.223999023
-323.973999023,207.225997925
-324.032989502,207.233001709
-324.092987061,207.23500061
-324.12399292,207.307006836
-324.186004639,207.304992676
-324.244995117,207.307998657
-324.299987793,207.311004639
-324.351013184,207.311004639
-324.398986816,207.307998657
-324.446990967,207.311004639
-324.494995117,207.305999756
-324.535003662,207.305999756
-324.57699585,207.307998657
-324.618011475,207.309005737
-324.622009277,207.386001587
-324.658996582,207.382003784
-324.695007324,207.380004883
-324.730987549,207.378997803
-324.769012451,207.375
-324.804992676,207.371002197
-324.846984863,207.371002197
-324.893005371,207.369003296
-324.941009521,207.363006592
-324.954986572,207.427001953
-325.006988525,207.429000854
-325.062011719,207.429000854
-325.118988037,207.423995972
-325.177001953,207.42300415
-325.244995117,207.417007446
-325.304992676,207.414001465
-325.367004395,207.412994385
-325.432006836,207.412002563
-325.496002197,207.408004761
-325.561004639,207.404006958
-325.585998535,207.486999512
-325.653015137,207.48399353
-325.716003418,207.479003906
-325.782012939,207.473999023
-325.846008301,207.468994141
-325.907012939,207.466003418
-325.968994141,207.457992554
-326.031005859,207.449996948
-326.093994141,207.442001343
-326.157989502,207.43699646
-326.187988281,207.505996704
-326.25,207.503005981
-326.315002441,207.490005493
-326.375,207.479995728
-326.437988281,207.475997925
-326.49798584,207.470993042
-326.558990479,207.457992554
-326.615997314,207.447998047
-326.677001953,207.440994263
-326.734008789,207.43699646
-326.761993408,207.498001099
-326.812988281,207.490005493
-326.868988037,207.479995728
-326.92199707,207.472000122
-326.973999023,207.462997437
-327.019989014,207.455001831
-327.067993164,207.444000244
-327.118011475,207.430999756
-327.165985107,207.42199707
-327.187011719,207.477005005
-327.235992432,207.464996338
-327.292999268,207.447006226
-327.352996826,207.429992676
-327.412994385,207.414993286
-327.477996826,207.399993896
-327.532012939,207.386001587
-327.593994141,207.369995117
-327.664001465,207.350997925
-327.730010986,207.328994751
-327.799987793,207.307006836
-327.868988037,207.287994385
-327.916992188,207.352996826
-327.989013672,207.326004028
-328.054992676,207.307006836
-328.12399292,207.289001465
-328.183990479,207.259002686
-328.244995117,207.227005005
-328.300994873,207.203994751
-328.355010986,207.184997559
-328.412994385,207.160003662
-328.462005615,207.138000488
-328.483001709,207.192001343
-328.536010742,207.169006348
-328.592010498,207.143997192
-328.640014648,207.117996216
-328.683990479,207.098999023
-328.734985352,207.080993652
-328.783996582,207.055999756
-328.829986572,207.033996582
-328.847991943,207.069000244
-328.893005371,207.044998169
-328.941009521,207.020996094
-328.988006592,206.994003296
-329.036010742,206.966003418
-329.084014893,206.942001343
-329.135009766,206.912994385
-329.178985596,206.886993408
-329.230987549,206.85899353
-329.287994385,206.830001831
-329.309997559,206.867996216
-329.355987549,206.837005615
-329.411010742,206.809997559
-329.467987061,206.779998779
-329.527008057,206.740997314
-329.580993652,206.710006714
-329.631988525,206.675994873
-329.684997559,206.639007568
-329.739990234,206.602005005
-329.799987793,206.561004639
-329.812988281,206.600006104
-329.864990234,206.561004639
-329.917999268,206.522003174
-329.971984863,206.48399353
-330.026000977,206.442001343
-330.083007812,206.404998779
-330.135009766,206.367004395
-330.192993164,206.324005127
-330.246002197,206.279998779
-330.305999756,206.233001709
-330.324005127,206.261993408
-330.378997803,206.225006104
-330.433013916,206.182998657
-330.484985352,206.14100647
-330.536987305,206.093002319
-330.585998535,206.052001953
-330.696014404,205.953994751
-330.747009277,205.906005859
-330.79901123,205.86000061
-330.822998047,205.867996216
-330.875,205.819000244
-330.92401123,205.770004272
-330.972991943,205.718002319
-331.020996094,205.667999268
-331.065002441,205.615997314
-331.108001709,205.569000244
-331.158996582,205.518997192
-331.20300293,205.468994141
-331.252990723,205.412002563
-331.265014648,205.432006836
-331.313995361,205.380996704
-331.359985352,205.32800293
-331.397003174,205.276992798
-331.440002441,205.220001221
-331.493011475,205.169006348
-331.535003662,205.119003296
-331.57901001,205.06300354
-331.617004395,205.005996704
-331.664001465,204.95300293
-331.670013428,204.973999023
-331.709991455,204.917999268
-331.752990723,204.860992432
-331.79699707,204.807006836
-331.834014893,204.751998901
-331.871002197,204.695007324
-331.903991699,204.63999939
-331.946990967,204.578994751
-331.986999512,204.522994995
-332.026000977,204.464996338
-332.019989014,204.479995728
-332.057006836,204.423995972
-332.091003418,204.365997314
-332.12701416,204.309005737
-332.158996582,204.25100708
-332.199005127,204.192001343
-332.231994629,204.136993408
-332.261993408,204.074005127
-332.29699707,204.014007568
-332.32901001,203.960006714
-332.360992432,203.899002075
-332.356994629,203.917999268
-332.385986328,203.867004395
-332.411987305,203.811004639
-332.434997559,203.753005981
-332.466003418,203.699996948
-332.493011475,203.649002075
-332.516998291,203.600997925
-332.536010742,203.555999756
-332.558013916,203.511993408
-332.57901001,203.470001221
-332.558990479,203.503997803
-332.583007812,203.460006714
-332.600006104,203.419006348
-332.617004395,203.382003784
-332.636993408,203.345001221
-332.657989502,203.305999756
-332.675994873,203.266998291
-332.692993164,203.223007202
-332.714996338,203.182998657
-332.733001709,203.145996094
-332.712005615,203.184005737
-332.735992432,203.14100647
-332.759002686,203.091003418
-332.781005859,203.042999268
-332.804992676,202.988998413
