x,y,s,kappa,dkappa,theta
-304.5357392578,224.7572980627,0.0198805555,-0.016767239,0.0001702174,1.2000553454
-304.5285333218,224.7758267154,0.039761111,-0.0167642612,0.0001295705,1.1997220343
-304.5213212109,224.7943529654,0.0596416665,-0.0167620787,9.0196145E-05,1.1993887745
-304.5141029267,224.812876811,0.079522222,-0.0167606665,5.2086374E-05,1.1990555504
-304.5068784706,224.8313982504,0.0994027775,-0.0167599994,1.5233074E-05,1.1987223469
-304.4996478435,224.8499172816,0.1192833331,-0.0167600525,-2.0371838E-05,1.1983891494
-304.4924110462,224.8684339025,0.1391638886,-0.0167608012,-5.4736447E-05,1.1980559439
-304.4851680794,224.8869481109,0.1590444441,-0.0167622207,-8.7868837E-05,1.1977227169
-304.4779189432,224.9054599047,0.1789249996,-0.0167642868,-0.0001197771,1.1973894551
-304.4706636377,224.9239692814,0.1988055551,-0.0167669752,-0.0001504693,1.1970561461
-304.4634021627,224.9424762386,0.2186861106,-0.0167702616,-0.0001799535,1.1967227776
-304.4561345179,224.9609807738,0.2385666661,-0.0167741224,-0.0002082379,1.196389338
-304.4488607026,224.9794828844,0.2584472216,-0.0167785335,-0.0002353305,1.1960558162
-304.441580716,224.9979825676,0.2783277771,-0.0167834715,-0.0002612393,1.1957222014
-304.4342945571,225.0164798207,0.2982083326,-0.0167889129,-0.0002859725,1.1953884834
-304.4270022247,225.0349746408,0.3180888881,-0.0167948344,-0.0003095382,1.1950546524
-304.4197037175,225.053467025,0.3379694437,-0.0168012128,-0.0003319444,1.1947206991
-304.4123990338,225.0719569704,0.3578499992,-0.0168080252,-0.0003531993,1.1943866146
-304.4050881721,225.0904444739,0.3777305547,-0.0168152488,-0.0003733108,1.1940523906
-304.3977711305,225.1089295324,0.3976111102,-0.0168228609,-0.0003922871,1.1937180191
-304.390447907,225.1274121426,0.4174916657,-0.0168308391,-0.0004101364,1.1933834926
-304.3831184995,225.1458923014,0.4373722212,-0.016839161,-0.0004268665,1.193048804
-304.3757829057,225.1643700055,0.4572527767,-0.0168478044,-0.0004424858,1.1927139467
-304.3684411234,225.1828452515,0.4771333322,-0.0168567474,-0.0004570021,1.1923789145
-304.36109315,225.2013180361,0.4970138877,-0.0168659681,-0.0004704237,1.1920437018
-304.353738983,225.2197883558,0.5168944432,-0.0168754448,-0.0004827586,1.1917083032
-304.3463786198,225.2382562073,0.5367749987,-0.016885156,-0.0004940148,1.1913727138
-304.3390120575,225.2567215869,0.5566555543,-0.0168950803,-0.0005042005,1.1910369292
-304.3316392935,225.2751844911,0.5765361098,-0.0169051965,-0.0005133238,1.1907009454
-304.3242603247,225.2936449165,0.5964166653,-0.0169154836,-0.0005213927,1.1903647587
-304.3168751483,225.3121028593,0.6162972208,-0.0169259207,-0.0005284153,1.190028366
-304.3094837614,225.330558316,0.6361777763,-0.0169364871,-0.0005343997,1.1896917645
-304.3020861607,225.3490112829,0.6560583318,-0.0169471622,-0.0005393541,1.1893549517
-304.2946823433,225.3674617564,0.6759388873,-0.0169579256,-0.0005432864,1.1890179259
-304.2872723061,225.3859097328,0.6958194428,-0.0169687572,-0.0005462047,1.1886806853
-304.2798560458,225.4043552083,0.7156999983,-0.0169796367,-0.0005481172,1.1883432289
-304.2724335595,225.4227981793,0.7355805538,-0.0169905443,-0.0005490319,1.1880055559
-304.2650048439,225.4412386421,0.7554611093,-0.0170014602,-0.0005489569,1.1876676659
-304.2575698959,225.459676593,0.7753416649,-0.0170123649,-0.0005479004,1.187329559
-304.2501287123,225.4781120282,0.7952222204,-0.0170232389,-0.0005458703,1.1869912356
-304.24268129,225.496544944,0.8151027759,-0.0170340629,-0.0005428747,1.1866526965
-304.2352276259,225.5149753367,0.8349833314,-0.0170448179,-0.0005389218,1.1863139428
-304.2277677169,225.5334032025,0.8548638869,-0.0170554848,-0.0005340197,1.1859749762
-304.2203015599,225.5518285379,0.8747444424,-0.0170660449,-0.0005281763,1.1856357985
-304.212829152,225.5702513391,0.8946249979,-0.0170764795,-0.0005213999,1.1852964121
-304.2053504901,225.5886716024,0.9145055534,-0.0170867702,-0.0005136984,1.1849568196
-304.1978655715,225.6070893242,0.9343861089,-0.0170968986,-0.00050508,1.1846170242
-304.1903743931,225.6255045009,0.9542666644,-0.0171068467,-0.0004955528,1.1842770292
-304.1828769524,225.6439171287,0.9741472199,-0.0171165964,-0.0004851248,1.1839368383
-304.1753732464,225.6623272043,0.9940277754,-0.0171261299,-0.0004738041,1.1835964557
-304.1678632727,225.6807347239,1.013908331,-0.0171354295,-0.0004615989,1.1832558859
-304.1603470288,225.6991396841,1.0337888865,-0.0171444777,-0.0004485171,1.1829151337
-304.152824512,225.7175420814,1.053669442,-0.0171532573,-0.0004345669,1.1825742042
-304.1452957202,225.7359419123,1.0735499975,-0.0171617509,-0.0004197563,1.182233103
-304.1377606511,225.7543391734,1.093430553,-0.0171699416,-0.0004040935,1.1818918359
-304.1302193026,225.7727338614,1.1133111085,-0.0171778125,-0.0003875865,1.1815504091
-304.1226716727,225.7911259729,1.133191664,-0.0171853469,-0.0003702435,1.1812088292
-304.1151177595,225.8095155047,1.1530722195,-0.0171925283,-0.0003520724,1.180867103
-304.1075575612,225.8279024535,1.172952775,-0.0171993403,-0.0003330814,1.1805252376
-304.0999910763,225.8462868161,1.1928333305,-0.0172057666,-0.0003132786,1.1801832407
-304.0924183033,225.8646685895,1.212713886,-0.0172117913,-0.000292672,1.1798411199
-304.0848392409,225.8830477705,1.2325944416,-0.0172173983,-0.0002712698,1.1794988835
-304.0772538879,225.9014243563,1.2524749971,-0.017222572,-0.00024908,1.1791565399
-304.0696622433,225.9197983438,1.2723555526,-0.0172272969,-0.0002261106,1.1788140979
-304.0620643063,225.9381697301,1.2922361081,-0.0172315573,-0.0002023699,1.1784715665
-304.0544600763,225.9565385126,1.3121166636,-0.0172353383,-0.0001778658,1.1781289552
-304.0468495526,225.9749046884,1.3319972191,-0.0172386245,-0.0001526065,1.1777862736
-304.0392327351,225.9932682549,1.3518777746,-0.0172414011,-0.0001266001,1.1774435317
-304.0316096236,226.0116292095,1.3717583301,-0.0172436533,-9.9854517E-05,1.1771007398
-304.0239802182,226.0299875497,1.3916388856,-0.0172453666,-0.000072378,1.1767579085
-304.0163445191,226.0483432732,1.4115194411,-0.0172465264,-4.4178531E-05,1.1764150485
-304.0087025269,226.0666963775,1.4313999966,-0.0172471184,-1.5264261E-05,1.1760721712
-304.0010542422,226.0850468604,1.4512805522,-0.0172471286,1.4356749E-05,1.1757292878
-303.9933996659,226.1033947198,1.4711611077,-0.017246543,4.4676415E-05,1.1753864101
-303.9857387991,226.1217399537,1.4910416632,-0.0172453477,7.568665E-05,1.1750435501
-303.9780716431,226.1400825599,1.5109222187,-0.0172435291,0.0001073794,1.1747007201
-303.9703981996,226.1584225367,1.5308027742,-0.0172410737,0.0001397465,1.1743579325
-303.9627184703,226.1767598822,1.5506833297,-0.0172379682,0.0001727799,1.1740152001
-303.9550324573,226.1950945948,1.5705638852,-0.0172341994,0.0002064716,1.1736725361
-303.9473401628,226.213426673,1.5904444407,-0.0172297543,0.0002408134,1.1733299537
-303.9396415894,226.2317561151,1.6103249962,-0.0172246201,0.0002757973,1.1729874665
-303.9319367398,226.25008292,1.6302055517,-0.0172187841,0.0003114152,1.1726450883
-303.924225617,226.2684070863,1.6500861072,-0.0172122338,0.000347659,1.1723028332
-303.9165082244,226.2867286128,1.6699666628,-0.0172049567,0.0003845206,1.1719607156
-303.9087845655,226.3050474986,1.6898472183,-0.0171969408,0.0004219919,1.1716187499
-303.9010546441,226.3233637427,1.7097277738,-0.0171881739,0.0004600648,1.1712769511
-303.8933184644,226.3416773444,1.7296083293,-0.0171786441,0.0004987313,1.1709353341
-303.8855760306,226.359988303,1.7494888848,-0.0171683399,0.0005379833,1.1705939143
-303.8778273475,226.3782966178,1.7693694403,-0.0171572495,0.0005778127,1.1702527071
-303.87007242,226.3966022886,1.7892499958,-0.0171453616,0.0006182114,1.1699117282
-303.8623112533,226.414905315,1.8091305513,-0.017132665,0.0006591713,1.1695709938
-303.8545438529,226.4332056968,1.8290111068,-0.0171191486,0.0007006843,1.1692305199
-303.8467702247,226.4515034341,1.8488916623,-0.0171048014,0.0007427424,1.1688903229
-303.8389903748,226.4697985268,1.8687722178,-0.0170896127,0.0007853375,1.1685504195
-303.8312043096,226.4880909753,1.8886527734,-0.017073572,0.0008284614,1.1682108266
-303.8234120358,226.5063807799,1.9085333289,-0.0170566688,0.0008721062,1.1678715611
-303.8156135604,226.5246679412,1.9284138844,-0.0170388927,0.0009162636,1.1675326403
-303.807808891,226.5429524597,1.9482944399,-0.0170202337,0.0009609257,1.1671940816
-303.799998035,226.5612343363,1.9681749954,-0.0170006819,0.0010060844,1.1668559028
-303.7921810005,226.5795135719,1.9880555509,-0.0169802275,0.0010517315,1.1665181216
-303.7843577959,226.5977901677,2.0079361064,-0.0169588607,0.001097859,1.1661807561
-303.7765284297,226.6160641248,2.0278166619,-0.0169365723,0.0011444588,1.1658438246
-303.768692911,226.6343354447,2.0476972174,-0.0169133527,0.0011915227,1.1655073454
-303.7608512492,226.6526041289,2.0675777729,-0.016889193,0.0012390429,1.1651713371
-303.7530034537,226.6708701792,2.0874583284,-0.016864084,0.001287011,1.1648358186
-303.7451495348,226.6891335973,2.107338884,-0.0168380171,0.0013354191,1.1645008087
-303.7372895026,226.7073943852,2.1272194395,-0.0168109834,0.0013842591,1.1641663267
-303.729423368,226.7256525453,2.147099995,-0.0167829746,0.0014335229,1.1638323918
-303.7215511419,226.7439080798,2.1669805505,-0.0167539822,0.0014832024,1.1634990235
-303.7136728357,226.7621609913,2.186861106,-0.0167239981,0.0015332895,1.1631662414
-303.7057884612,226.7804112823,2.2067416615,-0.0166930143,0.0015837762,1.1628340654
-303.6978980306,226.7986589558,2.226622217,-0.0166610228,0.0016346542,1.1625025153
-303.6900015562,226.8169040147,2.2465027725,-0.016628016,0.0016859157,1.1621716113
-303.6820990509,226.8351464623,2.266383328,-0.0165939864,0.0017375525,1.1618413737
-303.674190528,226.8533863019,2.2862638835,-0.0165589266,0.0017895564,1.1615118228
-303.6662760009,226.871623537,2.306144439,-0.0165228293,0.0018419195,1.1611829793
-303.6583554837,226.8898581714,2.3260249945,-0.0164856875,0.0018946335,1.1608548637
-303.6504289906,226.9080902089,2.3459055501,-0.0164474943,0.0019476906,1.160527497
-303.6424965364,226.9263196536,2.3657861056,-0.0164082429,0.0020010825,1.1602009001
-303.6345581361,226.9445465097,2.3856666611,-0.0163679269,0.0020548011,1.1598750941
-303.6266138052,226.9627707817,2.4055472166,-0.0163265397,0.0021088385,1.1595501002
-303.6186635594,226.9809924742,2.4254277721,-0.016284075,0.0021631865,1.1592259399
-303.6107074151,226.999211592,2.4453083276,-0.016240527,0.002217837,1.1589026345
-303.6027453889,227.01742814,2.4651888831,-0.0161958894,0.0022727819,1.1585802057
-303.5947774976,227.0356421234,2.4850694386,-0.0161501567,0.0023280132,1.1582586752
-303.5868037587,227.0538535477,2.5049499941,-0.0161033232,0.0023835228,1.1579380648
-303.5788241901,227.0720624182,2.5248305496,-0.0160553834,0.0024393025,1.1576183965
-303.5708388098,227.0902687409,2.5447111051,-0.0160063321,0.0024953444,1.1572996923
-303.5628476364,227.1084725216,2.5645916607,-0.0159561641,0.0025516403,1.1569819743
-303.5548506888,227.1266737665,2.5844722162,-0.0159048744,0.0026081821,1.1566652649
-303.5468479866,227.1448724818,2.6043527717,-0.0158524583,0.0026649617,1.1563495863
-303.5388395493,227.1630686742,2.6242333272,-0.015798911,0.0027219712,1.1560349611
-303.5308253972,227.1812623503,2.6441138827,-0.0157442282,0.0027792023,1.1557214116
-303.5228055508,227.1994535171,2.6639944382,-0.0156884055,0.002836647,1.1554089606
-303.5147800311,227.2176421816,2.6838749937,-0.0156314386,0.0028942972,1.1550976308
-303.5067488596,227.2358283513,2.7037555492,-0.0155733237,0.0029521448,1.1547874448
-303.4987120578,227.2540120336,2.7236361047,-0.0155140568,0.0030101818,1.1544784257
-303.4906696482,227.2721932363,2.7435166602,-0.0154536343,0.0030684001,1.1541705964
-303.4826216532,227.2903719673,2.7633972157,-0.0153920526,0.0031267915,1.1538639797
-303.4745680958,227.3085482347,2.7832777713,-0.0153293085,0.003185348,1.153558599
-303.4665089996,227.326722047,2.8031583268,-0.0152653986,0.0032440616,1.1532544771
-303.4584443883,227.3448934126,2.8230388823,-0.01520032,0.003302924,1.1529516375
-303.4503742862,227.3630623404,2.8429194378,-0.0151340698,0.0033619273,1.1526501033
-303.4422987179,227.3812288393,2.8627999933,-0.0150666452,0.0034210633,1.1523498978
-303.4342177086,227.3993929184,2.8826805488,-0.0149980437,0.003480324,1.1520510445
-303.4261312837,227.4175545873,2.9025611043,-0.0149282628,0.0035397013,1.1517535668
-303.4180394691,227.4357138555,2.9224416598,-0.0148573005,0.0035991871,1.151457488
-303.4099422912,227.4538707328,2.9423222153,-0.0147851545,0.0036587734,1.1511628318
-303.4018397766,227.4720252293,2.9622027708,-0.014711823,0.0037184519,1.1508696217
-303.3937319527,227.4901773552,2.9820833263,-0.0146373042,0.0037782147,1.1505778813
-303.3856188469,227.5083271211,3.0019638819,-0.0145615965,0.0038380537,1.1502876341
-303.3775004872,227.5264745374,3.0218444374,-0.0144846984,0.0038979607,1.1499989039
-303.3693769022,227.5446196153,3.0417249929,-0.0144066088,0.0039579277,1.1497117143
-303.3612481205,227.5627623657,3.0616055484,-0.0143273265,0.0040179467,1.1494260891
-303.3531141715,227.5809028001,3.0814861039,-0.0142468505,0.0040780095,1.1491420518
-303.3449750849,227.5990409299,3.1013666594,-0.0141651801,0.004138108,1.1488596264
-303.3368308907,227.6171767669,3.1212472149,-0.0140823145,0.0041982341,1.1485788364
-303.3286816195,227.6353103232,3.1411277704,-0.0139982535,0.0042583799,1.1482997058
-303.3205273021,227.6534416109,3.1610083259,-0.0139129966,0.0043185371,1.1480222583
-303.3123679701,227.6715706425,3.1808888814,-0.0138265436,0.0043786978,1.1477465175
-303.3042036551,227.6896974306,3.2007694369,-0.0137388947,0.0044388537,1.1474725074
-303.2960343894,227.707821988,3.2206499925,-0.01365005,0.0044989969,1.1472002518
-303.2878602055,227.7259443279,3.240530548,-0.0135600097,0.0045591193,1.1469297742
-303.2796811365,227.7440644635,3.2604111035,-0.0134687745,0.0046192127,1.1466610986
-303.2714972159,227.7621824084,3.280291659,-0.0133763449,0.0046792691,1.1463942487
-303.2633084775,227.7802981764,3.3001722145,-0.0132827219,0.0047392804,1.1461292482
-303.2551149556,227.7984117813,3.32005277,-0.0131879062,0.0047992386,1.1458661208
-303.246916685,227.8165232375,3.3399333255,-0.0130918992,0.0048591354,1.1456048903
-303.2387137007,227.8346325592,3.359813881,-0.0129947021,0.0049189629,1.1453455802
-303.2305060384,227.8527397612,3.3796944365,-0.0128963163,0.004978713,1.1450882144
-303.2222937339,227.8708448583,3.399574992,-0.0127967435,0.0050383775,1.1448328163
-303.2140768237,227.8889478656,3.4194555475,-0.0126959854,0.0050979484,1.1445794095
-303.2058553445,227.9070487983,3.4393361031,-0.0125940441,0.0051574177,1.1443280176
-303.1976293336,227.925147672,3.4592166586,-0.0124909215,0.0052167772,1.1440786641
-303.1893988285,227.9432445024,3.4790972141,-0.01238662,0.0052760188,1.1438313725
-303.1811638673,227.9613393055,3.4989777696,-0.012281142,0.0053351344,1.1435861662
-303.1729244884,227.9794320975,3.5188583251,-0.01217449,0.0053941161,1.1433430684
-303.1646807307,227.9975228947,3.5387388806,-0.0120666669,0.0054529556,1.1431021027
