x,y
-304.5357392578,224.7572980627
-304.5285333218,224.7758267154
-304.5213212109,224.7943529654
-304.5141029267,224.812876811
-304.5068784706,224.8313982504
-304.4996478435,224.8499172816
-304.4924110462,224.8684339025
-304.4851680794,224.8869481109
-304.4779189432,224.9054599047
-304.4706636377,224.9239692814
-304.4634021627,224.9424762386
-304.4561345179,224.9609807738
-304.4488607026,224.9794828844
-304.441580716,224.9979825676
-304.4342945571,225.0164798207
-304.4270022247,225.0349746408
-304.4197037175,225.053467025
-304.4123990338,225.0719569704
-304.4050881721,225.0904444739
-304.3977711305,225.1089295324
-304.390447907,225.1274121426
-304.3831184995,225.1458923014
-304.3757829057,225.1643700055
-304.3684411234,225.1828452515
-304.36109315,225.2013180361
-304.353738983,225.2197883558
-304.3463786198,225.2382562073
-304.3390120575,225.2567215869
-304.3316392935,225.2751844911
-304.3242603247,225.2936449165
-304.3168751483,225.3121028593
-304.3094837614,225.330558316
-304.3020861607,225.3490112829
-304.2946823433,225.3674617564
-304.2872723061,225.3859097328
-304.2798560458,225.4043552083
-304.2724335595,225.4227981793
-304.2650048439,225.4412386421
-304.2575698959,225.459676593
-304.2501287123,225.4781120282
-304.24268129,225.496544944
-304.2352276259,225.5149753367
-304.2277677169,225.5334032025
-304.2203015599,225.5518285379
-304.212829152,225.5702513391
-304.2053504901,225.5886716024
-304.1978655715,225.6070893242
-304.1903743931,225.6255045009
-304.1828769524,225.6439171287
-304.1753732464,225.6623272043
-304.1678632727,225.6807347239
-304.1603470288,225.6991396841
-304.152824512,225.7175420814
-304.1452957202,225.7359419123
-304.1377606511,225.7543391734
-304.1302193026,225.7727338614
-304.1226716727,225.7911259729
-304.1151177595,225.8095155047
-304.1075575612,225.8279024535
-304.0999910763,225.8462868161
-304.0924183033,225.8646685895
-304.0848392409,225.8830477705
-304.0772538879,225.9014243563
-304.0696622433,225.9197983438
-304.0620643063,225.9381697301
-304.0544600763,225.9565385126
-304.0468495526,225.9749046884
-304.0392327351,225.9932682549
-304.0316096236,226.0116292095
-304.0239802182,226.0299875497
-304.0163445191,226.0483432732
-304.0087025269,226.0666963775
-304.0010542422,226.0850468604
-303.9933996659,226.1033947198
-303.9857387991,226.1217399537
-303.9780716431,226.1400825599
-303.9703981996,226.1584225367
-303.9627184703,226.1767598822
-303.9550324573,226.1950945948
-303.9473401628,226.213426673
-303.9396415894,226.2317561151
-303.9319367398,226.25008292
-303.924225617,226.2684070863
-303.9165082244,226.2867286128
-303.9087845655,226.3050474986
-303.9010546441,226.3233637427
-303.8933184644,226.3416773444
-303.8855760306,226.359988303
-303.8778273475,226.3782966178
-303.87007242,226.3966022886
-303.8623112533,226.414905315
-303.8545438529,226.4332056968
-303.8467702247,226.4515034341
-303.8389903748,226.4697985268
-303.8312043096,226.4880909753
-303.8234120358,226.5063807799
-303.8156135604,226.5246679412
-303.807808891,226.5429524597
-303.799998035,226.5612343363
-303.7921810005,226.5795135719
-303.7843577959,226.5977901677
-303.7765284297,226.6160641248
-303.768692911,226.6343354447
-303.7608512492,226.6526041289
-303.7530034537,226.6708701792
-303.7451495348,226.6891335973
-303.7372895026,226.7073943852
-303.729423368,226.7256525453
-303.7215511419,226.7439080798
-303.7136728357,226.7621609913
-303.7057884612,226.7804112823
-303.6978980306,226.7986589558
-303.6900015562,226.8169040147
-303.6820990509,226.8351464623
-303.674190528,226.8533863019
-303.6662760009,226.871623537
-303.6583554837,226.8898581714
-303.6504289906,226.9080902089
-303.6424965364,226.9263196536
-303.6345581361,226.9445465097
-303.6266138052,226.9627707817
-303.6186635594,226.9809924742
-303.6107074151,226.999211592
-303.6027453889,227.01742814
-303.5947774976,227.0356421234
-303.5868037587,227.0538535477
-303.5788241901,227.0720624182
-303.5708388098,227.0902687409
-303.5628476364,227.1084725216
-303.5548506888,227.1266737665
-303.5468479866,227.1448724818
-303.5388395493,227.1630686742
-303.5308253972,227.1812623503
-303.5228055508,227.1994535171
-303.5147800311,227.2176421816
-303.5067488596,227.2358283513
-303.4987120578,227.2540120336
-303.4906696482,227.2721932363
-303.4826216532,227.2903719673
-303.4745680958,227.3085482347
-303.4665089996,227.326722047
-303.4584443883,227.3448934126
-303.4503742862,227.3630623404
-303.4422987179,227.3812288393
-303.4342177086,227.3993929184
-303.4261312837,227.4175545873
-303.4180394691,227.4357138555
-303.4099422912,227.4538707328
-303.4018397766,227.4720252293
-303.3937319527,227.4901773552
-303.3856188469,227.5083271211
-303.3775004872,227.5264745374
-303.3693769022,227.5446196153
-303.3612481205,227.5627623657
-303.3531141715,227.5809028001
-303.3449750849,227.5990409299
-303.3368308907,227.6171767669
-303.3286816195,227.6353103232
-303.3205273021,227.6534416109
-303.3123679701,227.6715706425
-303.3042036551,227.6896974306
-303.2960343894,227.707821988
-303.2878602055,227.7259443279
-303.2796811365,227.7440644635
-303.2714972159,227.7621824084
-303.2633084775,227.7802981764
-303.2551149556,227.7984117813
-303.246916685,227.8165232375
-303.2387137007,227.8346325592
-303.2305060384,227.8527397612
-303.2222937339,227.8708448583
-303.2140768237,227.8889478656
-303.2058553445,227.9070487983
-303.1976293336,227.925147672
-303.1893988285,227.9432445024
-303.1811638673,227.9613393055
-303.1729244884,227.9794320975
-303.1646807307,227.9975228947
-303.1564326335,228.0156117139
-303.1481802363,228.0336985717
-303.1399235794,228.0517834853
-303.131662703,228.069866472
-303.1233976482,228.0879475493
-303.1151284562,228.1060267348
-303.1068551687,228.1241040465
-303.0985778278,228.1421795026
-303.0902964759,228.1602531215
-303.082011156,228.1783249216
-303.0737219113,228.1963949218
-303.0654287855,228.2144631412
-303.0571318226,228.2325295988
-303.0488310672,228.2505943143
-303.0405265639,228.2686573072
-303.0322183581,228.2867185973
-303.0239064954,228.3047782049
-303.0155910217,228.32283615
-303.0072719835,228.3408924533
-302.9989494274,228.3589471354
-302.9906234006,228.3770002173
-302.9822939507,228.39505172
-302.9739611253,228.4131016648
-302.9656249729,228.4311500733
-302.957285542,228.4491969672
-302.9489428816,228.4672423684
-302.9405970411,228.485286299
-302.93224807,228.5033287813
-302.9238960185,228.5213698379
-302.915540937,228.5394094914
-302.9071828762,228.5574477648
-302.8988218873,228.5754846811
-302.8904580216,228.5935202636
-302.8820913311,228.6115545359
-302.8737218678,228.6295875215
-302.8653496842,228.6476192444
-302.8569748331,228.6656497284
-302.8485973677,228.683678998
-302.8402173414,228.7017070773
-302.831834808,228.7197339912
-302.8234498218,228.7377597641
-302.815062437,228.7557844212
-302.8066727085,228.7738079875
-302.7982806913,228.7918304883
-302.7898864409,228.809851949
-302.7814900128,228.8278723953
-302.7730914631,228.8458918528
-302.7646908481,228.8639103476
-302.7562882244,228.8819279058
-302.7478836488,228.8999445535
-302.7394771785,228.9179603173
-302.731068871,228.9359752237
-302.7226587839,228.9539892993
-302.7142469754,228.9720025712
-302.7058335036,228.9900150663
-302.6974184271,229.0080268118
-302.6890018048,229.026037835
-302.6805836957,229.0440481633
-302.6721641591,229.0620578243
-302.6637432547,229.0800668458
-302.6553210422,229.0980752557
-302.6468975818,229.1160830818
-302.6384729337,229.1340903523
-302.6300471585,229.1520970955
-302.6216203171,229.1701033397
-302.6131924703,229.1881091134
-302.6047636796,229.2061144452
-302.5963340062,229.2241193638
-302.5879035119,229.242123898
-302.5794722585,229.2601280768
-302.5710403082,229.2781319292
-302.5626077232,229.2961354844
-302.5541857271,229.3141149675
-302.5457632156,229.3320942063
-302.5373402592,229.3500732366
-302.5289169218,229.3680520885
-302.5204932679,229.3860307921
-302.5120693624,229.4040093778
-302.5036452711,229.4219878765
-302.4952210604,229.4399663191
-302.486796797,229.4579447371
-302.4783725486,229.4759231622
-302.4699483834,229.4939016262
-302.4615243703,229.5118801615
-302.4531005787,229.5298588005
-302.4446770788,229.5478375763
-302.4362539414,229.5658165218
-302.4278312379,229.5837956707
-302.4194090405,229.6017750566
-302.4109874219,229.6197547137
-302.4025664555,229.6377346762
-302.3941462156,229.655714979
-302.3857267769,229.6736956569
