x,y
-317.733001709,204.865997314
-317.731994629,204.865997314
-317.730987549,204.865005493
-317.731994629,204.863998413
-317.729003906,204.869003296
-317.727996826,204.869003296
-317.726989746,204.869003296
-317.730010986,204.869003296
-317.726989746,204.867004395
-317.727996826,204.867996216
-317.729003906,204.867996216
-317.727996826,204.867004395
-317.726989746,204.869995117
-317.726989746,204.867996216
-317.726989746,204.865997314
-317.727996826,204.865997314
-317.729003906,204.865005493
-317.729003906,204.867004395
-317.730010986,204.867996216
-317.730010986,204.865997314
-317.726989746,204.865005493
-317.730010986,204.865997314
-317.729003906,204.865997314
-317.729003906,204.865997314
-317.730987549,204.867996216
-317.730010986,204.867996216
-317.730010986,204.869003296
-317.727996826,204.869003296
-317.730010986,204.869995117
-317.730987549,204.869003296
-317.730987549,204.869003296
-317.730987549,204.869003296
-317.731994629,204.869003296
-317.731994629,204.869995117
-317.731994629,204.871002197
-317.733001709,204.871002197
-317.730010986,204.869003296
-317.733001709,204.871002197
-317.734008789,204.871994019
-317.734008789,204.871994019
-317.734008789,204.873001099
-317.733001709,204.873001099
-317.734008789,204.875
-317.734008789,204.87399292
-317.730987549,204.871002197
-317.731994629,204.871002197
-317.727996826,204.869995117
-317.730987549,204.871002197
-317.730010986,204.871994019
-317.729003906,204.871002197
-317.729003906,204.871994019
-317.730010986,204.869003296
-317.730010986,204.871002197
-317.727996826,204.871994019
-317.731994629,204.869003296
-317.730010986,204.869995117
-317.729003906,204.869995117
-317.730010986,204.869995117
-317.730987549,204.869003296
-317.729003906,204.869003296
-317.730010986,204.867996216
-317.730010986,204.869003296
-317.730010986,204.867996216
-317.730987549,204.867996216
-317.729003906,204.869995117
-317.729003906,204.869995117
-317.730010986,204.869003296
-317.730010986,204.869995117
-317.729003906,204.867996216
-317.730987549,204.867004395
-317.730987549,204.867996216
-317.731994629,204.869003296
-317.730987549,204.869003296
-317.733001709,204.867996216
-317.731994629,204.867996216
-317.733001709,204.869003296
-317.734008789,204.869003296
-317.733001709,204.869003296
-317.731994629,204.869003296
-317.733001709,204.871002197
-317.734008789,204.871002197
-317.734008789,204.869003296
-317.734985352,204.869003296
-317.736999512,204.869003296
-317.731994629,204.869995117
-317.731994629,204.869995117
-317.731994629,204.869995117
-317.734985352,204.867004395
-317.733001709,204.869003296
-317.734985352,204.867996216
-317.734008789,204.869995117
-317.733001709,204.867004395
-317.733001709,204.869003296
-317.734985352,204.867004395
-317.730010986,204.869995117
-317.734008789,204.869003296
-317.734985352,204.869003296
-317.739990234,204.867996216
-317.742004395,204.871994019
-317.746002197,204.875
-317.74899292,204.87600708
-317.74899292,204.878005981
-317.75100708,204.878005981
-317.752990723,204.876998901
-317.753997803,204.878997803
-317.755004883,204.876998901
-317.753997803,204.878997803
-317.753997803,204.880004883
-317.756988525,204.882003784
-317.756988525,204.880996704
-317.760986328,204.884002686
-317.763000488,204.886001587
-317.769989014,204.886993408
-317.778991699,204.891998291
-317.787994385,204.893005371
-317.802001953,204.897003174
-317.815002441,204.901992798
-317.82901001,204.908004761
-317.847991943,204.914001465
-317.864013672,204.92199707
-317.882995605,204.925994873
-317.902008057,204.934005737
-317.924987793,204.944000244
-317.947998047,204.95199585
-317.967987061,204.957000732
-317.989013672,204.964996338
-318.014007568,204.975006104
-318.041992188,204.986999512
-318.070007324,204.996002197
-318.096984863,205.005004883
-318.127990723,205.01600647
-318.161987305,205.026992798
-318.191009521,205.037994385
-318.223999023,205.050994873
-318.253997803,205.065002441
-318.286987305,205.076004028
-318.319000244,205.091003418
-318.355987549,205.100997925
-318.385986328,205.113998413
-318.419006348,205.125
-318.457000732,205.14100647
-318.489990234,205.149993896
-318.522003174,205.162002563
-318.558013916,205.175994873
-318.593994141,205.186004639
-318.62399292,205.197006226
-318.658996582,205.208999634
-318.690002441,205.218002319
-318.725006104,205.227005005
-318.761993408,205.240005493
-318.795013428,205.253997803
-318.82800293,205.261993408
-318.859985352,205.272003174
-318.889007568,205.283996582
-318.915985107,205.294998169
-318.944000244,205.300994873
-318.973999023,205.309997559
-319.005004883,205.320999146
-319.036987305,205.332000732
-319.066986084,205.341995239
-319.096008301,205.356002808
-319.127990723,205.367004395
-319.156005859,205.380004883
-319.187011719,205.393997192
-319.214996338,205.406997681
-319.24899292,205.417999268
-319.278015137,205.425994873
-319.321014404,205.440994263
-319.355010986,205.457992554
-319.386993408,205.470001221
-319.424987793,205.485992432
-319.460998535,205.501998901
-319.494995117,205.507003784
-319.528015137,205.520996094
-319.555999756,205.535995483
-319.591003418,205.54699707
-319.622009277,205.559005737
-319.656005859,205.572006226
-319.691009521,205.583999634
-319.722991943,205.593994141
-319.759002686,205.608001709
-319.79699707,205.621994019
-319.830993652,205.636993408
-319.903015137,205.664001465
-319.937011719,205.675003052
-319.975006104,205.686004639
-320.013000488,205.70300293
-320.052001953,205.716003418
-320.088989258,205.727996826
-320.12701416,205.742996216
