x,y
-311.975006104,202.869003296
-311.976013184,202.869003296
-311.975006104,202.869003296
-311.976013184,202.867996216
-311.975006104,202.869995117
-311.973999023,202.869003296
-311.975006104,202.869003296
-311.975006104,202.867996216
-311.973999023,202.867004395
-311.973999023,202.867996216
-311.975006104,202.869003296
-311.973999023,202.869003296
-311.975006104,202.867004395
-311.973999023,202.867996216
-311.971984863,202.869003296
-311.972991943,202.869003296
-311.973999023,202.869003296
-311.972991943,202.867996216
-311.972991943,202.865997314
-311.975006104,202.869003296
-311.972991943,202.869003296
-311.973999023,202.869003296
-311.975006104,202.867996216
-311.973999023,202.869995117
-311.972991943,202.869995117
-311.972991943,202.869995117
-311.973999023,202.869003296
-311.973999023,202.867996216
-311.973999023,202.867996216
-311.975006104,202.869003296
-311.973999023,202.869003296
-311.976013184,202.867004395
-311.977996826,202.865997314
-311.975006104,202.869995117
-311.972991943,202.871994019
-311.971984863,202.869003296
-311.971008301,202.867004395
-311.967987061,202.863998413
-311.963989258,202.865005493
-311.960998535,202.863006592
-311.957000732,202.863006592
-311.95300293,202.861999512
-311.947998047,202.856994629
-311.944000244,202.856002808
-311.938995361,202.854995728
-311.937011719,202.854003906
-311.933990479,202.854995728
-311.933013916,202.854995728
-311.934997559,202.854995728
-311.937011719,202.854003906
-311.933990479,202.854995728
-311.930999756,202.856002808
-311.933013916,202.854003906
-311.933990479,202.854995728
-311.933013916,202.854003906
-311.930999756,202.856994629
-311.932006836,202.854003906
-311.930999756,202.852996826
-311.930999756,202.852996826
-311.929992676,202.854995728
-311.928985596,202.854995728
-311.928985596,202.854995728
-311.929992676,202.852005005
-311.928985596,202.852005005
-311.929992676,202.852996826
-311.929992676,202.854003906
-311.932006836,202.854003906
-311.932006836,202.854995728
-311.929992676,202.856994629
-311.928985596,202.856994629
-311.933013916,202.85899353
-311.933990479,202.85899353
-311.942993164,202.860992432
-311.946990967,202.860992432
-311.949005127,202.865005493
-311.955993652,202.865997314
-311.962005615,202.869995117
-311.971008301,202.873001099
-311.980010986,202.87600708
-311.992004395,202.878997803
-312,202.882995605
-312.010009766,202.888000488
-312.024993896,202.89100647
-312.039001465,202.897003174
-312.053985596,202.902999878
-312.071990967,202.908004761
-312.095001221,202.916000366
-312.114013672,202.925003052
-312.138000488,202.93699646
-312.166992188,202.945999146
-312.191986084,202.955001831
-312.218994141,202.962005615
-312.256011963,202.964996338
-312.282989502,202.977005005
-312.308990479,202.98399353
-312.338989258,202.996994019
-312.37399292,203.007995605
-312.406005859,203.018997192
-312.438995361,203.027999878
-312.475006104,203.037994385
-312.506011963,203.050003052
-312.540008545,203.063995361
-312.57598877,203.07800293
-312.610992432,203.091995239
-312.649993896,203.106002808
-312.692993164,203.121002197
-312.734985352,203.134994507
-312.777008057,203.145996094
-312.817993164,203.160003662
-312.865997314,203.173995972
-312.911987305,203.18800354
-312.958007812,203.203994751
-313.006988525,203.225006104
-313.053985596,203.242996216
-313.101013184,203.261993408
-313.153015137,203.274993896
-313.209014893,203.289993286
-313.257995605,203.309005737
-313.308990479,203.32699585
-313.363006592,203.348999023
-313.416992188,203.363998413
-313.471984863,203.382003784
-313.531005859,203.401000977
-313.588012695,203.417999268
-313.647003174,203.434997559
-313.70199585,203.453994751
-313.75100708,203.473007202
-313.79800415,203.490005493
-313.851013184,203.509994507
-313.903015137,203.529998779
-313.95300293,203.54699707
-314.009002686,203.567001343
-314.069000244,203.585006714
-314.131988525,203.600006104
-314.191009521,203.615997314
-314.24899292,203.636993408
-314.308013916,203.658996582
-314.364990234,203.68699646
-314.427001953,203.710998535
-314.493011475,203.729995728
-314.558013916,203.75
-314.622009277,203.772994995
-314.677001953,203.798995972
-314.730987549,203.817993164
-314.786987305,203.835998535
-314.846008301,203.854003906
-314.903991699,203.875
-314.960998535,203.899993896
-315.019012451,203.921005249
-315.07699585,203.945007324
-315.135986328,203.966003418
-315.197998047,203.988006592
-315.259002686,204.009002686
-315.320007324,204.027999878
-315.378997803,204.04800415
-315.437011719,204.067993164
-315.49899292,204.087005615
-315.558013916,204.110992432
-315.621002197,204.130996704
-315.679992676,204.154998779
-315.739013672,204.186004639
-315.811004639,204.210006714
-315.881011963,204.229995728
-315.944000244,204.25
-316.007995605,204.270996094
-316.069000244,204.294006348
-316.131011963,204.31300354
-316.190002441,204.326004028
-316.243011475,204.339004517
-316.285003662,204.356002808
-316.32699585,204.369995117
-316.359008789,204.386001587
-316.385009766,204.395004272
-316.411987305,204.402999878
-316.440002441,204.410995483
-316.466003418,204.416000366
-316.493988037,204.423995972
-316.520996094,204.432006836
-316.54901123,204.444000244
-316.583007812,204.453994751
-316.618988037,204.462005615
-316.653991699,204.470993042
-316.696014404,204.479995728
-316.738006592,204.494995117
-316.781005859,204.511001587
-316.829986572,204.526000977
-316.881988525,204.544998169
-316.936004639,204.559005737
-317,204.574005127
-317.058990479,204.591003418
-317.121002197,204.610992432
-317.191986084,204.634994507
-317.265014648,204.656005859
-317.338012695,204.675003052
-317.415985107,204.697006226
