x,y,s,kappa,dkappa,theta
-312.04014985,202.894141845,0.0198500128,0.003656463,-8.6560603E-05,2.8151487681
-312.058951789,202.900506601,0.0397000255,0.0036549275,-6.8250775E-05,2.8152213331
-312.077754189,202.906869992,0.0595500383,0.0036537495,-5.0540718E-05,2.8152938712
-312.096557051,202.91323202,0.079400051,0.0036529171,-0.000033426,2.8153663893
-312.115360374,202.919592684,0.0992500638,0.0036524186,-1.6902295E-05,2.8154388943
-312.134164158,202.925951985,0.1191000765,0.0036522422,-9.65121E-07,2.8155113926
-312.152968403,202.932309922,0.1389500893,0.0036523764,1.4389901E-05,2.8155838905
-312.171773109,202.938666496,0.1588001021,0.0036528097,2.9167176E-05,2.815656394
-312.190578276,202.945021707,0.1786501148,0.0036535306,4.3371109E-05,2.815728909
-312.209383904,202.951375554,0.1985001276,0.0036545278,5.7006104E-05,2.8158014411
-312.228189993,202.957728037,0.2183501403,0.00365579,7.0076565E-05,2.8158739956
-312.246996542,202.964079155,0.2382001531,0.0036573061,8.2586899E-05,2.8159465777
-312.265803553,202.970428907,0.2580501659,0.003659065,9.4541508E-05,2.8160191923
-312.284611024,202.976777294,0.2779001786,0.0036610557,0.0001059448,2.8160918442
-312.303418958,202.983124314,0.2977501914,0.0036632674,0.0001168012,2.8161645378
-312.322227352,202.989469966,0.3176002041,0.0036656892,0.000127115,2.8162372774
-312.341036208,202.99581425,0.3374502169,0.0036683103,0.0001368908,2.8163100671
-312.359845526,203.002157164,0.3573002296,0.0036711202,0.0001461329,2.8163829107
-312.378655307,203.008498707,0.3771502424,0.0036741083,0.0001548456,2.8164558118
-312.39746555,203.014838878,0.3970002552,0.0036772641,0.0001630335,2.816528774
-312.416276255,203.021177677,0.4168502679,0.0036805773,0.0001707009,2.8166018004
-312.435087424,203.027515101,0.4367002807,0.0036840375,0.0001778522,2.816674894
-312.453899056,203.033851149,0.4565502934,0.0036876346,0.0001844918,2.8167480576
