x,y,s,kappa,dkappa,theta
-317.801738467,204.86883985,0.019874403,-0.0205803061,0.0006178119,2.8197400821
-317.820591054,204.875130466,0.039748806,-0.0205692465,0.0004958138,2.8193311747
-317.839441068,204.881428789,0.059623209,-0.0205605715,0.0003778408,2.8189224633
-317.858288506,204.887734814,0.079497612,-0.0205542013,0.0002638636,2.8185139013
-317.877133367,204.894048538,0.0993720149,-0.0205500569,0.000153853,2.8181054436
-317.895975647,204.900369958,0.1192464179,-0.0205480598,4.7779576E-05,2.8176970469
-317.914815345,204.906699073,0.1391208209,-0.0205481318,-0.000054386,2.8172886691
-317.933652456,204.91303588,0.1589952239,-0.0205501958,-0.0001526729,2.81688027
-317.952486977,204.919380381,0.1788696269,-0.0205541749,-0.0002471106,2.8164718107
-317.971318905,204.925732575,0.1987440299,-0.0205599929,-0.0003377283,2.8160632539
-317.990148236,204.932092464,0.2186184329,-0.0205675741,-0.0004245555,2.8156545638
-318.008974966,204.938460049,0.2384928359,-0.0205768435,-0.0005076212,2.8152457062
-318.02779909,204.944835333,0.2583672388,-0.0205877267,-0.000586955,2.8148366482
-318.046620604,204.951218319,0.2782416418,-0.0206001498,-0.0006625861,2.8144273584
-318.065439503,204.95760901,0.2981160448,-0.0206140394,-0.0007345438,2.8140178071
-318.084255782,204.964007411,0.3179904478,-0.0206293229,-0.0008028575,2.8136079657
-318.103069436,204.970413525,0.3378648508,-0.0206459281,-0.0008675564,2.8131978074
-318.12188046,204.976827359,0.3577392538,-0.0206637834,-0.0009286698,2.8127873065
-318.140688848,204.983248918,0.3776136568,-0.020682818,-0.0009862272,2.8123764388
-318.159494596,204.989678207,0.3974880598,-0.0207029614,-0.0010402577,2.8119651818
-318.178297696,204.996115234,0.4173624628,-0.0207241439,-0.0010907907,2.811553514
-318.197098143,205.002560005,0.4372368657,-0.0207462961,-0.0011378556,2.8111414154
-318.215895931,205.009012527,0.4571112687,-0.0207693495,-0.0011814816,2.8107288675
-318.234691055,205.015472808,0.4769856717,-0.020793236,-0.0012216981,2.810315853
-318.253483506,205.021940855,0.4968600747,-0.0208178881,-0.0012585343,2.8099023561
-318.272273281,205.028416678,0.5167344777,-0.020843239,-0.0012920196,2.8094883622
-318.291060371,205.034900283,0.5366088807,-0.0208692223,-0.0013221833,2.8090738581
-318.30984477,205.04139168,0.5564832837,-0.0208957724,-0.0013490547,2.8086588318
-318.328626472,205.047890877,0.5763576867,-0.020922824,-0.0013726631,2.8082432727
-318.347405469,205.054397884,0.5962320897,-0.0209503127,-0.0013930379,2.8078271716
-318.366181756,205.06091271,0.6161064926,-0.0209781744,-0.0014102083,2.8074105204
-318.384955325,205.067435363,0.6359808956,-0.0210063458,-0.0014242037,2.8069933122
-318.403726169,205.073965853,0.6558552986,-0.021034764,-0.0014350534,2.8065755416
-318.422494281,205.08050419,0.6757297016,-0.0210633668,-0.0014427866,2.8061572042
-318.441259654,205.087050384,0.6956041046,-0.0210920926,-0.0014474328,2.8057382971
-318.460022282,205.093604442,0.7154785076,-0.0211208802,-0.0014490212,2.8053188183
-318.478782157,205.100166377,0.7353529106,-0.0211496694,-0.0014475811,2.8048987673
-318.497539272,205.106736196,0.7552273136,-0.0211784,-0.0014431419,2.8044781446
-318.51629362,205.11331391,0.7751017165,-0.0212070129,-0.0014357329,2.804056952
-318.535045194,205.119899527,0.7949761195,-0.0212354492,-0.0014253833,2.8036351923
-318.553793987,205.126493058,0.8148505225,-0.0212636509,-0.0014121226,2.8032128698
-318.572539992,205.133094512,0.8347249255,-0.0212915603,-0.0013959799,2.8027899895
-318.591283202,205.139703897,0.8545993285,-0.0213191205,-0.0013769847,2.802366558
-318.610023609,205.146321224,0.8744737315,-0.0213462751,-0.0013551662,2.8019425826
-318.628761208,205.1529465,0.8943481345,-0.0213729682,-0.0013305538,2.8015180721
-318.647495991,205.159579735,0.9142225375,-0.0213991447,-0.0013031767,2.8010930361
-318.666227951,205.166220937,0.9340969405,-0.0214247498,-0.0012730643,2.8006674854
-318.684957081,205.172870115,0.9539713434,-0.0214497295,-0.001240246,2.800241432
-318.703683375,205.179527276,0.9738457464,-0.0214740304,-0.0012047509,2.7998148888
-318.722406826,205.186192429,0.9937201494,-0.0214975994,-0.0011666084,2.7993878698
-318.741127428,205.192865581,1.0135945524,-0.0215203843,-0.0011258479,2.7989603901
-318.759845174,205.199546739,1.0334689554,-0.0215423334,-0.0010824987,2.7985324657
-318.778560058,205.20623591,1.0533433584,-0.0215633954,-0.00103659,2.7981041139
-318.797272073,205.212933101,1.0732177614,-0.0215835198,-0.0009881512,2.7976753527
-318.815981214,205.219638318,1.0930921644,-0.0216026567,-0.0009372116,2.7972462013
-318.834687474,205.226351567,1.1129665674,-0.0216207565,-0.0008838005,2.7968166798
-318.853390848,205.233072854,1.1328409703,-0.0216377705,-0.0008279472,2.7963868093
-318.87209133,205.239802183,1.1527153733,-0.0216536504,-0.0007696811,2.7959566118
-318.890788914,205.246539559,1.1725897763,-0.0216683486,-0.0007090315,2.7955261103
-318.909483595,205.253284986,1.1924641793,-0.021681818,-0.0006460276,2.7950953289
-318.928175368,205.260038469,1.2123385823,-0.021694012,-0.0005806987,2.7946642924
-318.946864227,205.26680001,1.2322129853,-0.0217048849,-0.0005130743,2.7942330266
-318.965550167,205.273569612,1.2520873883,-0.0217143911,-0.0004431836,2.7938015582
-318.984233185,205.280347278,1.2719617913,-0.0217224861,-0.000371056,2.7933699148
-319.002913274,205.287133008,1.2918361943,-0.0217291255,-0.0002967206,2.792938125
-319.021590432,205.293926805,1.3117105972,-0.0217342659,-0.000220207,2.792506218
-319.040264653,205.30072867,1.3315850002,-0.0217378643,-0.0001415443,2.7920742241
-319.058935933,205.307538601,1.3514594032,-0.0217398781,-6.0761834E-05,2.7916421743
-319.07760427,205.314356599,1.3713338062,-0.0217402656,0.000022111,2.7912101006
-319.096269659,205.321182662,1.3912082092,-0.0217389856,0.0001070449,2.7907780358
-319.114932097,205.328016789,1.4110826122,-0.0217359972,0.0001940106,2.7903460132
-319.133591581,205.334858977,1.4309570152,-0.0217312606,0.0002829787,2.7899140674
-319.152248109,205.341709224,1.4508314182,-0.0217247361,0.00037392,2.7894822334
-319.170901677,205.348567525,1.4707058211,-0.0217163849,0.0004668051,2.7890505472
-319.189552283,205.355433876,1.4905802241,-0.0217061685,0.0005616047,2.7886190454
-319.208199925,205.362308272,1.5104546271,-0.0216940492,0.0006582895,2.7881877655
-319.226844602,205.369190708,1.5303290301,-0.02167999,0.0007568302,2.7877567457
