x,y
-311.898010254,202.141998291
-311.898010254,202.141998291
-311.895996094,202.143005371
-311.895996094,202.14100647
-311.899993896,202.141998291
-311.902008057,202.145004272
-311.906005859,202.145996094
-311.904998779,202.147003174
-311.906005859,202.147994995
-311.901000977,202.147994995
-311.897003174,202.147003174
-311.893005371,202.145004272
-311.894989014,202.143997192
-311.894989014,202.145004272
-311.898010254,202.145004272
-311.894989014,202.141998291
-311.895996094,202.143005371
-311.894012451,202.143005371
-311.894012451,202.143005371
-311.894012451,202.143005371
-311.897003174,202.143005371
-311.897003174,202.141998291
-311.897003174,202.143005371
-311.897003174,202.141998291
-311.893005371,202.141998291
-311.885009766,202.139007568
-311.875,202.134994507
-311.863006592,202.132003784
-311.848999023,202.126998901
-311.82901001,202.117004395
-311.805999756,202.106002808
-311.782012939,202.095993042
-311.753997803,202.085006714
-311.721984863,202.072006226
-311.683990479,202.057006836
-311.643005371,202.042007446
-311.602996826,202.024993896
-311.557006836,202.003997803
-311.514007568,201.988006592
-311.475006104,201.973999023
-311.433990479,201.958999634
-311.394989014,201.942001343
-311.359008789,201.925003052
-311.325012207,201.914001465
-311.294006348,201.899993896
-311.264007568,201.888000488
-311.239013672,201.87399292
-311.217010498,201.863998413
-311.192993164,201.854995728
-311.170013428,201.845993042
-311.151000977,201.837997437
-311.131988525,201.830001831
-311.114013672,201.820999146
-311.096008301,201.81199646
-311.075012207,201.802993774
-311.052001953,201.79800415
-311.028015137,201.789993286
-311.00100708,201.781005859
-310.975006104,201.772003174
-310.950012207,201.761993408
-310.92401123,201.75
-310.894012451,201.738006592
-310.867004395,201.720993042
-310.837005615,201.707000732
-310.805999756,201.692993164
-310.766998291,201.679000854
-310.734008789,201.660995483
-310.696014404,201.643997192
-310.653015137,201.628005981
-310.611999512,201.610992432
-310.57598877,201.591003418
-310.532012939,201.567993164
-310.484985352,201.544006348
-310.441986084,201.522003174
-310.390014648,201.49899292
-310.338012695,201.477005005
-310.291992188,201.457992554
-310.209014893,201.457992554
-310.157012939,201.43699646
-310.113006592,201.419006348
-310.071014404,201.399993896
-310.024993896,201.384002686
-309.975006104,201.367004395
-309.933990479,201.348999023
-309.890991211,201.32699585
-309.842987061,201.304992676
-309.79800415,201.285995483
-309.753997803,201.26600647
-309.70300293,201.244995117
-309.648986816,201.223999023
-309.596984863,201.203994751
-309.540985107,201.179992676
-309.483001709,201.149993896
-309.424987793,201.12399292
-309.359008789,201.095993042
-309.291992188,201.069000244
-309.225006104,201.037002563
-309.149993896,201.007995605
-309.074005127,200.977996826
-308.996002197,200.944000244
-308.916992188,200.912002563
-308.837005615,200.878005981
-308.756011963,200.837005615
-308.674987793,200.802001953
-308.597991943,200.772994995
-308.515991211,200.738998413
-308.446990967,200.70199585
-308.377990723,200.675994873
-308.309997559,200.651000977
-308.247009277,200.621002197
-308.186004639,200.591003418
-308.127990723,200.565994263
-308.071014404,200.539001465
-308.016998291,200.51600647
-307.964996338,200.490997314
-307.911987305,200.466995239
-307.867004395,200.444000244
-307.820007324,200.425003052
-307.768005371,200.404998779
-307.722991943,200.382003784
-307.67401123,200.36000061
-307.62701416,200.341003418
-307.574005127,200.319000244
-307.524993896,200.294998169
-307.472991943,200.268997192
-307.411987305,200.25
-307.359008789,200.227996826
-307.29598999,200.210998535
-307.242004395,200.182006836
-307.184997559,200.158996582
-307.128997803,200.139007568
-307.084014893,200.111999512
-307.036987305,200.087997437
-306.994995117,200.06199646
