x,y,s,kappa,dkappa,theta
-311.8411846,202.102436603,0.0198412984,0.0078506179,-0.0004409383,-0.3992442314
-311.822903119,202.094725275,0.0396825968,0.0078426244,-0.000365235,-0.3990885467
-311.804620439,202.087016791,0.0595238952,0.0078361075,-0.0002920847,-0.3989330059
-311.78633656,202.079311151,0.0793651936,0.0078310169,-0.00022147,-0.3987775802
-311.768051484,202.071608351,0.099206492,0.0078273024,-0.0001533735,-0.3986222417
-311.749765213,202.063908391,0.1190477904,0.0078249141,-8.7777841E-05,-0.3984669637
-311.731477745,202.05621127,0.1388890888,0.0078238027,-2.4665589E-05,-0.3983117204
-311.713189084,202.048516989,0.1587303872,0.007823919,3.5980624E-05,-0.3981564868
-311.694899227,202.040825546,0.1785716856,0.0078252143,9.4178185E-05,-0.3980012391
-311.676608177,202.033136944,0.1984129841,0.0078276402,0.0001499445,-0.3978459545
-311.658315933,202.025451182,0.2182542825,0.0078311485,0.0002032969,-0.3976906109
-311.640022496,202.017768263,0.2380955809,0.0078356917,0.0002542528,-0.3975351873
-311.621727863,202.010088188,0.2579368793,0.0078412222,0.0003028297,-0.3973796638
-311.603432036,202.002410959,0.2777781777,0.0078476931,0.0003490448,-0.3972240211
-311.585135014,201.994736579,0.2976194761,0.0078550577,0.0003929156,-0.397068241
-311.566836796,201.987065051,0.3174607745,0.0078632696,0.0004344595,-0.3969123064
-311.548537382,201.979396378,0.3373020729,0.0078722829,0.0004736938,-0.3967562008
-311.53023677,201.971730564,0.3571433713,0.0078820519,0.0005106359,-0.3965999087
-311.511934959,201.964067611,0.3769846697,0.0078925312,0.0005453033,-0.3964434158
-311.493631948,201.956407525,0.3968259681,0.007903676,0.0005777133,-0.3962867082
-311.475327736,201.948750309,0.4166672665,0.0079154416,0.0006078833,-0.3961297733
-311.457022322,201.941095968,0.4365085649,0.0079277837,0.0006358308,-0.3959725991
-311.438715704,201.933444506,0.4563498633,0.0079406584,0.0006615729,-0.3958151747
-311.420407881,201.925795929,0.4761911617,0.0079540222,0.0006851273,-0.3956574899
-311.402098851,201.918150241,0.4960324601,0.0079678317,0.0007065112,-0.3954995355
-311.383788613,201.910507448,0.5158737585,0.0079820441,0.0007257421,-0.395341303
-311.365477164,201.902867555,0.5357150569,0.0079966169,0.0007428372,-0.3951827849
-311.347164503,201.895230567,0.5555563553,0.0080115078,0.0007578142,-0.3950239744
-311.328850629,201.88759649,0.5753976537,0.008026675,0.0007706902,-0.3948648656
-311.310535539,201.87996533,0.5952389522,0.008042077,0.0007814827,-0.3947054535
-311.292219232,201.872337093,0.6150802506,0.0080576726,0.0007902091,-0.3945457338
-311.273901705,201.864711784,0.634921549,0.008073421,0.0007968868,-0.3943857031
-311.255582957,201.857089409,0.6547628474,0.0080892817,0.0008015331,-0.3942253588
-311.237262986,201.849469975,0.6746041458,0.0081052146,0.0008041655,-0.394064699
